Name	category
ELOVL1	Active
MED8	Active
SZT2	Active
HYI	Active
KDM4A	Active
KDM4A-AS1	Active
ST3GAL3	Active
LOC101929609	Active
IPO13	Active
DPH2	Active
ATP6V0B	Active
B4GALT2	Active
CCDC24	Active
SLC6A9	Active
LOC107984948	Active
DMAP1	Active
ERI3	Active
TMEM53	Active
ARMH1	Active
KIF2C	Active
RPS8	Active
SNORD55	Active
SNORD46	Active
PLK3	Active
LOC107984952	Active
EIF2B3	Active
HECTD3	Active
UROD	Active
LINC01144	Active
HPDL	Active
MUTYH	Active
TOE1	Active
TESK2	Active
CCDC163	Active
MMACHC	Active
PRDX1	Active
AKR1A1	Active
NASP	Active
GPBP1L1	Active
TMEM69	Active
IPP	Active
LOC105378693	Active
LOC101929626	Active
LURAP1	Active
RAD54L	Active
LRRC41	Active
UQCRH	Active
NSUN4	Active
FAAH	Active
MKNK1	Active
ATPAF1	Active
TEX38	Active
STIL	Active
CMPK1	Active
SPATA6	Active
BEND5	Active
FAF1	Active
LOC112268262	Active
LINC01562	Active
RNF11	Active
EPS15	Active
OSBPL9	Active
NRDC	Active
RAB3B	Active
TXNDC12	Active
KTI12	Active
BTF3L4	Active
LOC107984956	Active
ZFYVE9	Active
CC2D1B	Active
ORC1	Active
PRPF38A	Active
ZCCHC11	Active
GPX7	Active
COA7	Active
ZYG11B	Active
ZYG11A	Active
CPT2	Active
C1orf123	Active
MAGOH	Active
LOC100507564	Active
NDC1	Active
YIPF1	Active
HSPB11	Active
LRRC42	Active
TMEM59	Active
TCEANC2	Active
MIR4781	Active
CYB5RL	Active
MRPL37	Active
TTC4	Active
PARS2	Active
DHCR24	Active
LOC107984958	Active
USP24	Active
LOC100507634	Active
PLPP3	Active
OMA1	Active
MYSM1	Active
LOC105378756	Active
FGGY	Active
HOOK1	Active
TM2D1	Active
PATJ	Active
L1TD1	Active
USP1	Active
DOCK7	Active
ATG4C	Active
ALG6	Active
EFCAB7	Active
PGM1	Active
RAVER2	Active
JAK1	Active
AK4	Active
LEPROT	Active
LEPR	Active
WDR78	Active
MIER1	Active
SLC35D1	Active
SERBP1	Active
GADD45A	Active
DEPDC1	Active
DEPDC1-AS1	Active
LRRC40	Active
SRSF11	Active
ANKRD13C	Active
CTH	Active
LRRIQ3	Active
FPGT-TNNI3K	Active
FPGT	Active
CRYZ	Active
TYW3	Active
SLC44A5	Active
ACADM	Active
RABGGTB	Active
SNORD45C	Active
ST6GALNAC3	Active
PIGK	Active
LOC105378808	Active
ZZZ3	Active
USP33	Active
MIGA1	Active
NEXN-AS1	Active
NEXN	Active
FUBP1	Active
DNAJB4	Active
PRKACB	Active
LOC107985046	Active
SAMD13	Active
GNG5	Active
SPATA1	Active
CTBS	Active
LOC105378819	Active
LINC01461	Active
SSX2IP	Active
ZNHIT6	Active
ODF2L	Active
LOC105378827	Active
LOC105378828	Active
SH3GLB1	Active
SELENOF	Active
HS2ST1	Active
LMO4	Active
PKN2-AS1	Active
PKN2	Active
GTF2B	Active
KYAT3	Active
RBMXL1	Active
LRRC8D	Active
ZNF326	Active
LOC105378849	Active
ZNF644	Active
EPHX4	Active
BTBD8	Active
RPAP2	Active
RPL5	Active
FAM69A	Active
MTF2	Active
TMED5	Active
CCDC18	Active
CCDC18-AS1	Active
DR1	Active
FNBP1L	Active
BCAR3	Active
MIR760	Active
DNTTIP2	Active
GCLM	Active
ABCD3	Active
CNN3	Active
LOC105378862	Active
LOC729970	Active
ALG14	Active
LOC101928118	Active
RWDD3	Active
PTBP2	Active
SNX7	Active
FRRS1	Active
AGL	Active
MFSD14A	Active
SASS6	Active
TRMT13	Active
DBT	Active
RTCA-AS1	Active
RTCA	Active
EXTL2	Active
SLC30A7	Active
DPH5	Active
LOC102606465	Active
LOC101928436	Active
RNPC3	Active
PRMT6	Active
NTNG1	Active
SLC25A24	Active
FAM102B	Active
PRPF38B	Active
STXBP3	Active
CLCC1	Active
WDR47	Active
TAF13	Active
LOC105378892	Active
TMEM167B	Active
SCARNA2	Active
SARS	Active
PSRC1	Active
SORT1	Active
PSMA5	Active
ATXN7L2	Active
CYB561D1	Active
GNAI3	Active
GNAT2	Active
AMPD2	Active
GSTM4	Active
GSTM2	Active
GSTM1	Active
AHCYL1	Active
LOC105378895	Active
RBM15-AS1	Active
RBM15	Active
LAMTOR5	Active
LAMTOR5-AS1	Active
LRIF1	Active
DRAM2	Active
CEPT1	Active
WDR77	Active
ATP5PB	Active
FAM212B	Active
LOC101928718	Active
DDX20	Active
ST7L	Active
CAPZA1	Active
MOV10	Active
RHOC	Active
SLC16A1	Active
SLC16A1-AS1	Active
LOC100996251	Active
LRIG2	Active
MAGI3	Active
PHTF1	Active
RSBN1	Active
AP4B1-AS1	Active
AP4B1	Active
DCLRE1B	Active
HIPK1-AS1	Active
HIPK1	Active
OLFML3	Active
TRIM33	Active
BCAS2	Active
LOC105378914	Active
NRAS	Active
CSDE1	Active
SIKE1	Active
VANGL1	Active
LOC101928977	Active
SLC22A15	Active
ATP1A1	Active
ATP1A1-AS1	Active
CD58	Active
IGSF3	Active
PTGFRN	Active
LOC101929099	Active
TTF2	Active
TRIM45	Active
MAN1A2	Active
LOC100996263	Active
FAM46C	Active
GDAP2	Active
WDR3	Active
SPAG17	Active
LOC105378930	Active
WARS2	Active
LOC101929147	Active
